hash,author_name,committer_name,author_date,commit_date,num_lines_added,num_lines_deleted,num_lines_of_code,num_file_impacted,num_dirs_impacted,min_complexity,mean_complexity,max_complexity,entropy,bug_fixing,description_length,num_prior_commits,avg_prior_age,num_prior_commits_bug_fixing,num_future_commits_bug_fixing,fix_inducing,reviewer_id,reviewer_name,reviewer_vote,reviewer_is_core,num_prior_votes,pct_prior_pos_votes,pct_prior_neg_votes,pct_prior_pos_votes_core,pct_prior_neg_votes_core,change_id,pct_prior_commits_author_authored,pct_prior_commits_author_reviewed,pct_prior_commits_reviewer_authored,pct_prior_commits_reviewer_reviewed
99826d08d4c48cb83f4c5eb7fc79bba9ffd86f41,Sabari Kumar Murugesan,Sabari Kumar Murugesan,2015-05-19 12:54:49-07:00,2015-05-19 12:57:34-07:00,1,1,266,1,1,13,13.0,13,0.0,True,46,1,244.0,1,0,False,2537,Nikhil Komawar,2,True,2,1.0,0.0,0.0,0.0,I0f36faa60a4688c8aba5e31f69e3f1818adb681a,,,,
99826d08d4c48cb83f4c5eb7fc79bba9ffd86f41,Sabari Kumar Murugesan,Sabari Kumar Murugesan,2015-05-19 12:54:49-07:00,2015-05-19 12:57:34-07:00,1,1,266,1,1,13,13.0,13,0.0,True,46,1,244.0,1,0,False,2472,Doug Hellmann,-1,False,3,1.0,0.0,0.3333333333333333,0.0,I0f36faa60a4688c8aba5e31f69e3f1818adb681a,,,,
99cece5fdd10f8dc44a7f4139508efc1672b59c8,Tom Cocozzello,Flavio Percoco,2016-03-09 13:56:25-06:00,2016-03-14 09:17:13-04:00,1,2,0,1,1,0,0.0,0,0.0,True,73,2,85.0,1,0,False,6159,Flavio Percoco Premoli,2,False,0,0.0,0.0,0.0,0.0,Ica33f1fd5acdc17a115d7a3bd81f8f4d79c1a809,0.5,0.0,0.0,0.5
99cece5fdd10f8dc44a7f4139508efc1672b59c8,Tom Cocozzello,Flavio Percoco,2016-03-09 13:56:25-06:00,2016-03-14 09:17:13-04:00,1,2,0,1,1,0,0.0,0,0.0,True,73,2,85.0,1,0,False,11356,Louis Taylor,2,False,1,1.0,0.0,0.0,0.0,Ica33f1fd5acdc17a115d7a3bd81f8f4d79c1a809,0.5,0.0,0.0,0.0
99cece5fdd10f8dc44a7f4139508efc1672b59c8,Tom Cocozzello,Flavio Percoco,2016-03-09 13:56:25-06:00,2016-03-14 09:17:13-04:00,1,2,0,1,1,0,0.0,0,0.0,True,73,2,85.0,1,0,False,18546,hang cheng,1,False,2,1.0,0.0,0.0,0.0,Ica33f1fd5acdc17a115d7a3bd81f8f4d79c1a809,0.5,0.0,0.0,0.0
99cece5fdd10f8dc44a7f4139508efc1672b59c8,Tom Cocozzello,Flavio Percoco,2016-03-09 13:56:25-06:00,2016-03-14 09:17:13-04:00,1,2,0,1,1,0,0.0,0,0.0,True,73,2,85.0,1,0,False,8158,Hemanth Makkapati,1,False,3,1.0,0.0,0.0,0.0,Ica33f1fd5acdc17a115d7a3bd81f8f4d79c1a809,0.5,0.0,0.0,0.0
99d5173afe55ad08c855c48e4e839d18ab3592e8,Brian Waldon,Brian Waldon,2012-08-08 13:49:40-07:00,2012-08-10 10:33:38-07:00,10,751,2501,12,6,1,33.75,116,0.693376988447163,False,61,30,52.06666666666667,6,3,True,616,Mark Washenberger,2,False,0,0.0,0.0,0.0,0.0,Ieef2c141282e7018d56e79aee8f20af0542af25b,0.5333333333333333,0.6333333333333333,0.06666666666666667,0.4
99f4ad817285c96e014165f3125f32d4f49deac0,Victor Sergeyev,Victor Sergeyev,2014-02-24 18:35:00+02:00,2014-02-27 14:14:21+02:00,819,456,3782,17,8,1,35.5625,153,0.7033306694548246,True,447,16,173.125,8,7,True,6549,Zhi Yan Liu,2,False,0,0.0,0.0,0.0,0.0,Ia73abba8309ccc2ad10a0f636b410984c6b6e5d8,0.125,0.0,0.0,0.625
99f4ad817285c96e014165f3125f32d4f49deac0,Victor Sergeyev,Victor Sergeyev,2014-02-24 18:35:00+02:00,2014-02-27 14:14:21+02:00,819,456,3782,17,8,1,35.5625,153,0.7033306694548246,True,447,16,173.125,8,7,True,6484,Feilong Wang,2,False,1,1.0,0.0,0.0,0.0,Ia73abba8309ccc2ad10a0f636b410984c6b6e5d8,0.125,0.0,0.0,0.3125
99fb66ca80cb0f6f4c3e25b1907a9bf6c630fdb1,Victor Sergeyev,Victor Sergeyev,2013-11-22 18:20:08+02:00,2014-01-25 11:04:55+02:00,31,144,1359,6,6,2,35.4,128,0.5113445552881682,False,36,17,326.47058823529414,10,2,True,1849,Joe Gordon,-1,False,0,0.0,0.0,0.0,0.0,Ib7e2e478a84a90cc9c773f2733dc60b88834fd23,0.0,0.0,0.0,0.058823529411764705
99fb66ca80cb0f6f4c3e25b1907a9bf6c630fdb1,Victor Sergeyev,Victor Sergeyev,2013-11-22 18:20:08+02:00,2014-01-25 11:04:55+02:00,31,144,1359,6,6,2,35.4,128,0.5113445552881682,False,36,17,326.47058823529414,10,2,True,6849,Roman Podoliaka,1,False,6,0.8333333333333334,0.1666666666666666,0.0,0.0,Ib7e2e478a84a90cc9c773f2733dc60b88834fd23,0.0,0.0,0.0,0.0
99fb66ca80cb0f6f4c3e25b1907a9bf6c630fdb1,Victor Sergeyev,Victor Sergeyev,2013-11-22 18:20:08+02:00,2014-01-25 11:04:55+02:00,31,144,1359,6,6,2,35.4,128,0.5113445552881682,False,36,17,326.47058823529414,10,2,True,6159,Flavio Percoco Premoli,2,False,2,0.0,1.0,0.0,0.0,Ib7e2e478a84a90cc9c773f2733dc60b88834fd23,0.0,0.0,0.0,0.29411764705882354
99fb66ca80cb0f6f4c3e25b1907a9bf6c630fdb1,Victor Sergeyev,Victor Sergeyev,2013-11-22 18:20:08+02:00,2014-01-25 11:04:55+02:00,31,144,1359,6,6,2,35.4,128,0.5113445552881682,False,36,17,326.47058823529414,10,2,True,8759,Arnaud Legendre,1,False,6,0.8333333333333334,0.1666666666666666,0.0,0.0,Ib7e2e478a84a90cc9c773f2733dc60b88834fd23,0.0,0.0,0.0,0.0
99fb66ca80cb0f6f4c3e25b1907a9bf6c630fdb1,Victor Sergeyev,Victor Sergeyev,2013-11-22 18:20:08+02:00,2014-01-25 11:04:55+02:00,31,144,1359,6,6,2,35.4,128,0.5113445552881682,False,36,17,326.47058823529414,10,2,True,616,Mark Washenberger,2,False,4,0.75,0.25,0.0,0.0,Ib7e2e478a84a90cc9c773f2733dc60b88834fd23,0.0,0.0,0.0,0.7647058823529411
99fb66ca80cb0f6f4c3e25b1907a9bf6c630fdb1,Victor Sergeyev,Victor Sergeyev,2013-11-22 18:20:08+02:00,2014-01-25 11:04:55+02:00,31,144,1359,6,6,2,35.4,128,0.5113445552881682,False,36,17,326.47058823529414,10,2,True,6549,Zhi Yan Liu,2,False,7,0.8571428571428571,0.1428571428571428,0.0,0.0,Ib7e2e478a84a90cc9c773f2733dc60b88834fd23,0.0,0.0,0.0,0.17647058823529413
99fb66ca80cb0f6f4c3e25b1907a9bf6c630fdb1,Victor Sergeyev,Victor Sergeyev,2013-11-22 18:20:08+02:00,2014-01-25 11:04:55+02:00,31,144,1359,6,6,2,35.4,128,0.5113445552881682,False,36,17,326.47058823529414,10,2,True,7701,Amala Basha,1,False,6,0.6666666666666666,0.3333333333333333,0.0,0.0,Ib7e2e478a84a90cc9c773f2733dc60b88834fd23,0.0,0.0,0.0,0.0
